@relation 1999Collisions-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute C_YEAR {1999}
@attribute C_MNTH {1}
@attribute C_WDAY {1}
@attribute C_HOUR {0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute C_SEV {1,2}
@attribute C_VEHS {01,02,03,05,04,06,08,07,09,10}
@attribute C_CONF {UU,QQ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}
@attribute C_RCFG {UU,QQ,01,02,03,05,04,06,08,07,09,10}
@attribute C_WTHR {1,2,3,4,5,6,7,8,U,Q}
@attribute C_RSUR {1,2,3,4,5,6,7,8,U,Q}
@attribute C_RALN {1,2,3,4,5,6,7,8,U,Q}
@attribute C_TRAF {UU,QQ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}
@attribute V_ID {01,02,03,04,05,06,99}
@attribute V_TYPE {NN,UU,QQ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}
@attribute V_YEAR {NNNN,UUUU,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1990,1991,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1992,1993,1994,1995,1996,1997,1998,1999}
@attribute P_ID {01,02,03,04,05,06,11,13,23,99}
@attribute P_SEX {M,F,U,N}
@attribute P_AGE {UU,QQ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,76,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99}
@attribute P_PSN {UU,QQ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,96,99}
@attribute P_ISEV {1,2,3,U}
@attribute P_SAFE {UU,02,NN,01,13,12,09,QQ,10,11}
@attribute P_USER {1,2,3,,4,5,6,7,8,9,U}
@attribute C_CASE {752,753,820,932,992,1067,1243,1266,1331,1677,1689,1719,1759,1980,2003,2005,2030,2035,2040,2335,2479,2541,2667,2858,2874,2890,2951,2954,2955,2956,3075,3224,3248,3284,3414,3499,3518,3519,3544,3545,3585,3627,3789,3793,3814,3903,3938,3939,3940,3948,4214,4216,4227,4330,4332,4335,4403,4668,4754,4842,4888,5049,5053,5213,5392,5403,5409,5681,5776,5830,5834,5835,5840,5848,5850,5865,5887,6001,7752,7791,7882,8294,8430,8465,8495,8516,8583,8654,8682,8683,8875,8883,8900,8990,8996,8998,9088,9118,9295,9403,9429,9656,9690,9957,9958,10058,10110,10171,10238,10245,10267,10906,11338,11339,11404,11405,11569,11572,11755,11899,12049,12137,12138,12201,12209,12212,12213,12389,12392,12395,12506,12508,12604,12931,13262,13513,13771,14026,14027,14268,14269,14401,14402,14542,14543,14544,14653,14654,14824,15259,15263,15264,15391,15602,15801,15804,15889,16026,16032,16378,16382,16541,16546,16710,16712,16836,16842,17022,17024,17028,17196,17198,17202,17457,17601,17812,17946,17947,18146,18153,19187,19188,19189,19190,19208,19209,19210,19211,19231,19239,19807,19957,19970,20286,20414,20571,20702,20705,20921,20923,21293,21388,21419,21572,21626,21629,21788,21852,21853,21855,22123,22136,22656,22974,22976,23272,23334,23337,23417,23418,23437,23438,23439,23451,24127,24135,24286,24287,24288,24298,24303,24304,24633,25001,25004,25008,25009,25450,25451,25452,25464,25465,25472,25473,25928,26003,26009,26334,26498,26503,26504,26966,26967,27256,27448,27455,27457,27659,27903,27904,28117,28179,28180,28183,28310,28460,28466,28473,28704,29208,29291,29383,29418,29456,29457,29462,29730,29831,29835,30109,30111,30159}

@data
1999,1,1,20,2,02,34,UU,1,5,3,03,01,06,1990,01,M,41,11,1,UU,1,752
1999,1,1,20,2,02,34,UU,1,5,3,03,02,01,1987,01,M,19,11,1,UU,1,752
1999,1,1,20,2,02,34,UU,1,5,3,03,02,01,1987,02,F,20,13,2,02,2,752
1999,1,1,20,2,02,33,UU,1,1,1,01,01,06,1991,01,M,42,11,1,02,1,3627
1999,1,1,20,2,02,33,UU,1,1,1,01,01,06,1991,02,F,15,13,1,02,2,3627
1999,1,1,20,2,02,33,UU,1,1,1,01,02,01,1990,01,F,24,11,2,02,1,3627
1999,1,1,20,2,01,03,UU,1,5,1,UU,01,01,1998,01,M,18,11,2,02,1,4227
1999,1,1,20,2,01,03,03,1,1,3,05,01,01,1988,01,F,38,11,2,02,1,4332
1999,1,1,20,2,01,04,UU,4,3,6,UU,01,01,1994,01,F,45,11,2,02,1,4668
1999,1,1,20,2,03,35,01,1,3,1,18,01,01,1997,01,M,42,11,U,UU,1,12392
1999,1,1,20,2,03,35,01,1,3,1,18,02,01,1989,01,M,60,11,2,01,1,12392
1999,1,1,20,2,03,35,01,1,3,1,18,03,UU,1996,01,U,UU,11,U,UU,U,12392
1999,1,1,20,2,02,41,QQ,1,3,2,UU,01,06,1984,01,U,UU,11,U,UU,1,17947
1999,1,1,20,2,02,41,QQ,1,3,2,UU,01,06,1984,02,F,UU,13,2,UU,2,17947
1999,1,1,20,2,02,41,QQ,1,3,2,UU,02,06,1987,01,U,UU,11,U,UU,1,17947
1999,1,1,20,2,02,33,UU,2,3,U,UU,01,01,1987,01,M,52,11,2,02,1,20414
1999,1,1,20,2,02,33,UU,2,3,U,UU,02,07,1978,01,M,38,11,U,UU,1,20414
1999,1,1,20,2,01,02,01,3,5,1,18,01,01,1989,01,F,17,11,2,02,1,20923
1999,1,1,20,2,02,33,02,1,2,2,01,01,01,1997,01,M,22,11,2,02,1,23439
1999,1,1,20,2,02,33,02,1,2,2,01,02,01,1998,01,M,33,11,2,02,1,23439
1999,1,1,20,2,02,21,01,2,3,1,18,01,01,1998,01,F,34,11,1,02,1,24304
1999,1,1,20,2,02,21,01,2,3,1,18,02,01,1998,01,F,55,11,2,02,1,24304
1999,1,1,20,2,01,01,02,2,3,1,01,01,01,1989,01,F,18,11,U,UU,1,24633
1999,1,1,20,2,01,01,02,2,3,1,01,99,NN,NNNN,01,M,46,99,2,UU,3,24633
1999,1,1,20,2,01,01,02,3,2,1,01,01,06,1994,01,M,50,11,1,02,1,26009
1999,1,1,20,2,01,01,02,3,2,1,01,01,06,1994,02,U,UU,13,1,02,2,26009
1999,1,1,20,2,01,01,02,3,2,1,01,99,NN,NNNN,01,F,15,99,2,UU,3,26009
1999,1,1,20,1,02,35,02,3,2,1,01,01,06,1990,01,M,60,11,3,13,1,27904
1999,1,1,20,1,02,35,02,3,2,1,01,02,08,1988,01,M,35,11,U,UU,1,27904
1999,1,1,20,1,02,21,02,1,5,2,18,01,06,1986,01,U,UU,11,U,UU,1,28179
1999,1,1,20,1,02,21,02,1,5,2,18,01,06,1986,02,M,52,QQ,3,UU,U,28179
1999,1,1,20,1,02,21,02,1,5,2,18,02,20,1990,01,U,UU,11,U,UU,U,28179
1999,1,1,20,1,02,21,02,1,5,2,18,99,NN,NNNN,01,M,21,99,2,UU,3,28179
1999,1,1,8,2,01,01,UU,5,3,6,18,01,01,1986,01,M,46,11,1,UU,1,753
1999,1,1,8,2,01,01,UU,5,3,6,18,99,NN,NNNN,01,M,05,99,2,UU,3,753
1999,1,1,8,2,02,04,UU,1,5,3,18,01,01,1996,01,M,43,11,2,02,1,2954
1999,1,1,8,2,02,04,UU,1,5,3,18,01,01,1996,02,F,40,13,2,02,2,2954
1999,1,1,8,2,02,04,UU,1,5,3,18,02,01,1989,01,U,UU,11,1,UU,1,2954
1999,1,1,8,2,01,04,UU,1,5,3,18,01,01,1985,01,F,27,11,2,02,1,2955
1999,1,1,8,2,01,04,UU,1,5,3,18,01,01,1985,02,F,27,13,2,02,2,2955
1999,1,1,8,2,03,33,02,4,2,4,18,01,01,1989,01,M,18,11,2,02,1,5392
1999,1,1,8,2,03,33,02,4,2,4,18,02,07,UUUU,01,M,51,11,1,02,1,5392
1999,1,1,8,2,03,33,02,4,2,4,18,03,06,1994,01,F,34,11,1,UU,1,5392
1999,1,1,8,2,02,34,02,1,2,1,18,01,06,1989,01,M,53,11,2,02,1,8465
